Number of Boat in list,Year,Model,Area Code,Phone Number,Price
1,1998,1998 Oyster 56,866,866 292-809,"$795,000       "
2,1991,1991 Tayana Center Cockpit,206,206 414-482,"$275,000       "
3,1974,1974 Ta Chaio Custom CT-54,305,305 767-217,"$80,000        "
4,2002,2002 Beneteau 473,216,216 513-431,"$205,000       "
5,1993,1993 Amel Santorin,175,17575880375,"$175,000       "
6,2005,2005 Hunter 466,866,866 292-809,"$163,000       "
7,1996,1996 Prout owners edition,443,443 822-915,"$325,000       "
8,2004,2004 Hunter ,866,866 675-030,"$219,995       "
9,1997,1997 Island Packet 45 Cutter,954,954 926-040,"$155,000       "
10,1993,1993 Alden 43 Sloop,207,207 208-646,"$299,000       "
11,1970,1970 Swan 43,203,203 387-990,"$230,000       "
12,1981,1981 Mason Cutter,866,866 292-809,"$98,000        "
13,1996,1996 Hunter Passage 42,480,480 586-613,"$120,000       "
14,1993,1993 Catalina 42 MKI,727,727 642-950,"$119,500       "
15,1994,1994 Hunter 42 Passage,817,817 988-014,"$105,000       "
16,2005,2005 Catalina 400 Mkii,817,817 821-016,"$196,500       "
17,2000,2000 Hunter 410,305,305 864-846,"$159,500       "
18,1985,1985 Bristol Bristol Center Cockpit,248,248 840-205,"$139,000       "
19,1988,1988 Morgan Sloop,303,303 378-236,"$115,000       "
20,1981,1981 Geraghty Marine Nelson-Marek 41,619,619 335-545,"$39,000        "
21,1995,1995 Catalina 400 Winged Keel,888,888 669-845,"$88,500        "
22,1977,1977 Island Trader Ketch,386,386 847-320,"$85,000        "
23,1981,1981 Endeavour Sloop,866,866 292-809,"$74,500        "
24,1970,1970 Morgan Cruiser,866,866 618-971,"$11,000        "
25,1996,1996 Catalina 380,425,425 432-351,"$109,000       "
26,2003,2003 Island Packet 380,561,561 775-600,"$249,000       "
27,2009,2009 Catalina 387 Wing Keel,888,888 669-845,"$219,900       "
28,1982,1982 Catalina C-38,888,888 521-974,"$46,900        "
29,1981,1981 C&C 38LANDFALL,888,888 521-974,"$45,900        "
30,1987,1987 Tartan 37c,507,507 272-198,"$69,200        "
31,1986,1986 TAYANA Tayana 37 Ct,509,509 365-007,"$65,000        "
32,1979,1979 Tayana cutter,305,305 394-029,"$42,500        "
33,2001,2001 COM-PAC 35,941,941 639-415,"$105,900       "
34,1990,1990 Sabre 36,888,888 521-974,"$80,000        "
35,2002,2002 Beneteau 361 Oceanis,910,910 515-412,"$79,900        "
36,1984,1984 Catalina C36,559,559 433-792,"$38,000        "
37,1977,1977 Heritage West Indies 36,888,888 309-887,"$29,995        "
38,1999,1999 Victory Endeavor,561,561 775-600,"$139,000       "
39,1986,1986 Express Yachting Express 35,231,231 929-157,"$39,900        "
40,2004,2004 TomCat 9.7,866,866 292-809,"$128,900       "
41,2004,2004 Performance Cruising Gemini 105Mc,931,931 261-790,"$120,000       "
42,1990,1990 Pacific Seacraft Crealock 34,919,919 215-924,"$95,000        "
43,1997,1997 Gemini 105M,410,410 302-784,"$84,000        "
44,1988,1988 Catalina 34TALLRIG,888,888 325-374,"$46,000        "
45,1990,1990 Catalina Mark II Wing Keel,954,954 540-508,"$42,500        "
46,1998,1998 Hunter 340,866,866 618-971,"$39,900        "
47,1988,1988 Catalina 34,727,727 433-194,"$39,900        "
48,1987,1987 O'Day Sloop,302,302 547-776,"$34,000        "
49,1983,1983 Hunter Cruiser,704,704 572-182,"$14,999        "
50,2013,2013 Hunter 33E,949,949 981-980,"$167,500       "
51,2001,2001 Beneteau 331,713,713 524-211,"$69,500        "
52,2002,2002 Beneteau 331,954,954 253-747,"$64,000        "
53,1972,1972 Ranger R 33,810,810 599-430,"$9,900         "
54,2010,2010 Jeanneau 33i,419,419 341-208,"$114,900       "
55,2001,2001 Hake 32RK,919,919 946-525,"$100,000       "
56,2008,2008 Beneteau 323,813,813 597-343,"$70,000        "
57,1974,1974 Westsail 32,954,954 330-865,"$39,000        "
58,1973,1973 Wauquiez Centurion,860,860 536-067,"$33,000        "
59,1978,1978 Islander 32,888,888 421-260,"$22,900        "
60,1979,1979 Endeavour E32,904,904 806-149,"$14,000        "
61,1983,1983 Hunter Cherubini,239,239 699-500,"$16,000        "
62,1979,1979 Columbia 9.6,516,516 336-944,"$6,800         "
63,2000,2000 Maine Cat Maine Cat 30 Sl,941,941 916-091,"$129,900       "
